291843267669813,Sat,2014-09-06,"Button Factory"," Hidden Agenda",299,"Hidden Agenda & Malibu Club: D.I.S.C.O",n/a,n/a,n/a,n/a
291843267669813,Sat,2014-09-06,"Button Factory"," Hidden Agenda",299,"Hidden Agenda & Malibu Club: D.I.S.C.O",n/a,n/a,n/a,n/a
872601642778633,Sat,2015-04-18,"Button Factory"," Sense",299,"The Bunker: Pris",10,n/a,n/a,n/a
872601642778633,Sat,2015-04-18,"Button Factory"," Sense",299,"Moda Black at Sense - Jaymo Andy George &Theo; Kottis",8,5,n/a,n/a
898300816950615,Sat,2015-11-14,Hangar," BuildingSociety",300,"Strictly Deep is 3: Steve Bug - Day / Night Party",15,12,n/a,n/a
564964600271803,Fri,2015-01-30,"Opium Rooms"," Abstract",301,"Abstract presents Max Cooper",12,8,n/a,n/a
1611279155779974,Sun,2015-05-31,"Opium Rooms"," Abstract",304,"Exit Festival Launch Party with Klangkarussell",20,15,12,n/a
1558302517777163,Sat,2015-05-16,Hangar," BuildingSociety",311,"[POSPONED] The Building Society presents Aeroplane is Currently Being Rescheduled to a Later Date",15,12,n/a,n/a
708868719158209,Sat,2013-11-30,"Twisted Pepper"," Subject",311,"Subject at Pogo - Dave Clarke & Sunil Sharpe",20,18,n/a,n/a
986423648088352,Sun,2015-10-25,"Opium Rooms"," Abstract",320,Apollonia,20,18,15,12
337599806439001,Sat,2015-04-18,Hangar," BuildingSociety",321,"The Building Society: Ultramajic Showcase - Jimmy Edgar L-Vis 1990",18,15,12,n/a
713437105406581,Sat,2014-12-06,"Button Factory"," Sense",321,"Sense Series - Karma Kid Eli & Fur",15,12,10,8
788273497929682,Sat,2015-03-07,Hangar," BuildingSociety",322,"The Building Society presents: Miss Kittin",18,15,n/a,n/a
165092380505546,Sat,2015-11-21,"Opium Rooms"," Abstract",325,"Ben Pearce & Abstract present: The Sextape Series",15,12,10,n/a
1112953742049907,Fri,2015-10-02,"Opium Rooms"," Abstract",328,"Bella Sarris",15,12,10,n/a
340094982816231,Fri,2014-09-12,"Button Factory"," Jack",330,"Felix Da Housecat",15,n/a,n/a,n/a
110147835985878,Sat,2015-08-08,"Button Factory"," Sense",330,"Sense with Mak & Pasteman",10,n/a,n/a,n/a
594762147271656,Fri,2014-02-21,Sin," StrictlyDeep",333,"Strictly Deep presents Richy Ahmed",15,12,10,n/a
791653367608569,Sat,2015-07-04,"Opium Rooms"," Abstract",342,"Danny Daze",10,n/a,n/a,n/a
1450979988559405,Sat,2015-10-10,"Button Factory"," Sense",346,"Sense with Max Cooper",12,10,n/a,n/a
483128781839929,Sat,2015-05-23,Hangar," BuildingSociety",350,"The Building Society presents: Purple Disco Machine",15,12,8,n/a
1539210086366683,Fri,2015-05-08,"Opium Rooms"," Abstract",358,"Wunderground & Abstract presents: Apollonia",20,18,15,12
496915113732422,Fri,2013-10-04,"Button Factory"," Jack",371,"Infinity Ink Eagles & Butterflies",12,n/a,n/a,n/a
366138160241966,Sat,2015-07-11,"Button Factory"," Sense",371,"Sense - Joran Van Pol",10,8,n/a,n/a
1433492053540790,Fri,2013-12-13,"Button Factory"," Jack",382,"Claptone at Jack",10,n/a,n/a,n/a
335849569939301,Tue,2015-03-17,"Button Factory"," Bedlam",386,"Sense & Bedlam Paddy's Day Party Together with Russ Chimes",10,8,5,n/a
432633140180421,Fri,2013-11-08,"Button Factory"," Jack",389,"Jack + POD present: Joris Voorn",20,18,15,n/a
1571973673055961,Sat,2015-04-11,"Opium Rooms"," Bedlam",394,"Hidden Agenda & Bedlam: Bob Moses & Dreems",12,10,n/a,n/a
1571973673055961,Sat,2015-04-11,"Opium Rooms"," Hidden Agenda",394,"Hidden Agenda & Bedlam: Bob Moses & Dreems",12,10,n/a,n/a
524798547661059,Sat,2015-02-07,Hangar," BuildingSociety",395,"The Building Society & Hangar presents: Greg Wilson",15,12,n/a,n/a
580695815321803,Fri,2013-10-18,"Button Factory"," Jack",395,"Jack + POD presents: Gesaffelstein",15,n/a,n/a,n/a
623131817813814,Sat,2015-02-21,Hangar," BuildingSociety",403,"The Building Society presents Benjamin Damage & Frank B",12,10,n/a,n/a
1572041286352460,Sat,2014-12-20,"Twisted Pepper"," Subject",415,"Subject at Pogo - Ben Sims & Fish Go Deep",15,n/a,n/a,n/a
323239624538035,Sat,2015-01-31,Hangar," BuildingSociety",417,"The Building Society: The Field [Live]",15,12,10,n/a
554815897994022,Sun,2015-04-05,"Button Factory"," Sense",427,"Sense & Welcome - Mosca & Kowton",10,8,n/a,n/a
432471473569651,Sat,2015-03-07,Hangar," BuildingSociety",429,"The Building Society presents: Miss Kittin",18,15,n/a,n/a
431302220364475,Fri,2015-06-26,"Opium Rooms"," Abstract",430,"Recondite (Live) Will Kinsella (Live)",15,12,10,n/a
936000836444148,Sun,2015-04-05,Hangar," BuildingSociety",440,"The Building Society presents: Art Department",20,17,15,10
519432131526020,Fri,2014-11-28,"Opium Rooms"," Abstract",448,"Abstract & Wolf Music present Detroit Swindle (Live)",15,12,10,n/a
1594896697400773,Fri,2015-02-27,Sin," StrictlyDeep",450,"Strictly Deep presents Darius Syrossian",15,12,10,n/a
950162438388908,Sat,2015-09-26,"Opium Rooms"," Abstract",453,"Abstract presents Oliver Dollar",15,12,10,n/a
604059736380327,Sat,2014-07-19,"Button Factory"," Hidden Agenda",457,"Hidden Agenda & Bedlam: Wave Racer",5,n/a,n/a,n/a
177984979202190,Sat,2015-11-21,"Button Factory"," Sense",459,"Sense with Paul Woolford",13,10,n/a,n/a
192625591071682,Fri,2015-10-23,Hangar," BuildingSociety",472,"Hangar 1st Birthday Weekender w/ Sunil Sharpe",12,10,6,n/a
804122973034078,Sat,2015-10-24,"Button Factory"," Sense",481,"Sense with My Nu Leng Woz & Mumdance",13,10,n/a,n/a
1583992588495885,Sat,2014-11-29,"Opium Rooms"," Hidden Agenda",486,"Hidden Agenda & The Building Society: Vitalic (Dj Set)",12,10,n/a,n/a
883052891757777,Sat,2015-04-11,Hangar," BuildingSociety",488,"F.O.E: Paul Birken Headless Horseman & Sunil Sharpe",15,12,10,n/a
1554329631457602,Fri,2014-10-24,"Button Factory"," Jack",490,"Pleasurekraft at Jack",20,17,n/a,n/a
1486708538236995,Sat,2014-10-04,"Opium Rooms"," Abstract",493,"Abstract present DJ Sneak All-Day BBQ Party",15,12,10,n/a
785324348220861,Sat,2015-03-28,Hangar," BuildingSociety",495,"The Building Society: Objekt Snakehips Defekt",15,12,10,n/a
633983883327674,Fri,2014-02-14,Savoy," Jack",502,"Waze & Odyssey + Flashmob",10,n/a,n/a,n/a
545731508889334,Sat,2014-09-20,"Opium Rooms"," Hidden Agenda",505,"Hidden Agenda: Pantha Du Prince [Live]",12,10,n/a,n/a
623536541017149,Fri,2014-02-28,"Button Factory"," Jack",507,"Jack presents: Pleasurekraft & Bontan",12,n/a,n/a,n/a
1024437360906407,Sat,2015-04-11,"Button Factory"," Sense",509,"Sense - Deetron",15,12,10,n/a
912723078739014,Fri,2014-11-21,"Opium Rooms"," Abstract",512,"Abstract present The Martinez Brothers",15,12,10,n/a
764733713644078,Sat,2015-07-18,"Opium Rooms"," Abstract",512,"Krystal Klear at Opium Rooms 1st Birthday Weekender",10,n/a,n/a,n/a
988947024466104,Sat,2015-03-07,"Button Factory"," Sense",516,"Sense - Coyu",10,8,n/a,n/a
1698830700346203,Fri,2015-11-06,"Mandela Hall"," Hidden Agenda",525,"Flight Facilities (Live) & Greg Wilson",15,12,n/a,n/a
1475021312826618,Sat,2015-12-26,"Button Factory"," Sense",533,"Sense with Dense & Pika and Special Guest",15,12,10,n/a
